word,meaning,word_type,last_sound,can_combine
ಆದಿ,,,ಿ,yes
ಬುರ್ಜೋರ್ಜಿ,,,ಿ,yes
ಗೋದ್ರೇಜ್,,,್,yes
ಜನನ,,,ನ,yes
ಏಪ್ರಿಲ್,,,್,yes
ಒಬ್ಬ,,,ಬ,yes
ಭಾರತೀಯ,,,ಯ,yes
ಬಿಲಿಯನೇರ್,,,್,yes
ಉದ್ಯಮಿ,,,ಿ,yes
ಮತ್ತು,,,ು,yes
ಕೈಗಾರಿಕೋದ್ಯಮಿ,,,ಿ,yes
ಇವರು,,,ು,yes
ಕುಟುಂಬದ,,,ದ,yes
ಮುಖ್ಯಸ್ಥ,,,ಥ,yes
ಗ್ರೂಪ್,,,್,yes
ಅಧ್ಯಕ್ಷರು,,,ು,yes
ಅಕ್ಟೋಬರ್,,,್,yes
ಹೊತ್ತಿಗೆ,,,ೆ,yes
ಯುಎಸ್,,,್,yes
ಬಿಲಿಯನ್,,,್,yes
ನಿವ್ವಳ,,,ಳ,yes
ಮೌಲ್ಯವನ್ನು,,,ು,yes
ಹೊಂದಿದ್ದರು,,,ು,yes
ಆರಂಭಿಕ,,,ಕ,yes
ಜೀವನ,,,ನ,yes
ಅವರು,,,ು,yes
ತಮ್ಮ,,,ಮ,yes
ಶಿಕ್ಷಣವನ್ನು,,,ು,yes
ಸೇಂಟ್,,,್,yes
ಕ್ಸೇವಿಯರ್ಸ್,,,್,yes
ಹೈಸ್ಕೂಲ್,,,್,yes
ಕ್ಸೇವಿಯರ್,,,್,yes
ಕಾಲೇಜು,,,ು,yes
ಮುಂಬೈನಲ್ಲಿ,,,ಿ,yes
ಪೂರ್ಣಗೊಳಿಸಿದರು,,,ು,yes
ಎಚ್ಎಲ್,,,್,yes
ಕಾಲೇಜಿನಲ್ಲಿ,,,ಿ,yes
ಪದವಿ,,,ಿ,yes
ಪದವಿಪೂರ್ವ,,,ವ,yes
ಪಡೆದರು,,,ು,yes
ಎಂಐಟಿ,,,ಿ,yes
ಸ್ಲೋನ್,,,್,yes
ಸ್ಕೂಲ್,,,್,yes
ಆಫ್,,,್,yes
ಮ್ಯಾನೇಜ್,,,್,yes
ಮೆಂಟ್,,,್,yes
ನಲ್ಲಿ,,,ಿ,yes
ಎಂಬಿಎ,,,ಎ,yes
ಪದವಿಗಳಿಸಿದರು,,,ು,yes
ಅಲ್ಲಿ,,,ಿ,yes
ಪೈ,,,ೈ,yes
ಲ್ಯಾಂಬ್ಡಾ,,,ಾ,yes
ಫಿ,,,ಿ,yes
ಫ್ರಾಟರ್ನಿಟಿ,,,ಿ,yes
ಟೌ,,,ೌ,yes
ಬೀಟಾ,,,ಾ,yes
ಪೈಯಲ್ಲಿ,,,ಿ,yes
ಸದಸ್ಯರಾಗಿದ್ದರು,,,ು,yes
ವೃತ್ತಿ,,,ಿ,yes
ಭಾರತಕ್ಕೆ,,,ೆ,yes
ಹಿಂದಿರುಗಿದ,,,ದ,yes
ನಂತರ,,,ರ,yes
ವ್ಯವಹಾರಕ್ಕೆ,,,ೆ,yes
ಸೇರಿ,,,ಿ,yes
ನಿರ್ವಹಣಾ,,,ಾ,yes
ರಚನೆಯನ್ನು,,,ು,yes
ಆಧುನೀಕರಿಸಿದರು,,,ು,yes
ಪ್ರಕ್ರಿಯೆ,,,ೆ,yes
ಸುಧಾರಣೆಗಳನ್ನು,,,ು,yes
ಜಾರಿಗೆ,,,ೆ,yes
ತಂದರು,,,ು,yes
ಇಂಡಸ್ಟ್ರೀಸ್,,,್,yes
ಬ್ರದರ್,,,್,yes
ಮ್ಯಾನೇಜಿಂಗ್,,,್,yes
ಡೈರೆಕ್ಟರ್,,,್,yes
ಅಗ್ರೋವೆಟ್,,,್,yes
ಅಧ್ಯಕ್ಷರಾದ,,,ದ,yes
ನಾದಿರ್,,,್,yes
ಅವರ,,,ರ,yes
ಸೋದರಸಂಬಂಧಿ,,,ಿ,yes
ರಲ್ಲಿ,,,ಿ,yes
ಹಿಡುವಳಿ,,,ಿ,yes
ಕಂಪನಿಯಾದ,,,ದ,yes
ಅಧ್ಯಕ್ಷ,,,ಷ,yes
ಸ್ಥಾನದಿಂದ,,,ದ,yes
ಕೆಳಗಿಳಿಯುವ,,,ವ,yes
ಯೋಜನೆಯನ್ನು,,,ು,yes
ಪ್ರಕಟಿಸಿದರು,,,ು,yes
ಜಿಐಎಲ್,,,್,yes
ಗೌರವಾನ್ವಿತ,,,ತ,yes
ಅಧ್ಯಕ್ಷರಾಗಿ,,,ಿ,yes
ಮುಂದುವರಿಯುತ್ತಾರೆ,,,ೆ,yes
ಹಲವಾರು,,,ು,yes
ವ್ಯಾಪಾರ,,,ರ,yes
ಕೈಗಾರಿಕಾ,,,ಾ,yes
ಸಂಸ್ಥೆ,,,ೆ,yes
ಸಂಘಗಳ,,,ಳ,yes
ಅಧ್ಯಕ್ಷರಾಗಿದ್ದಾರೆ,,,ೆ,yes
ರಿಂದ,,,ದ,yes
ರವರೆಗೆ,,,ೆ,yes
ಇಂಡಿಯನ್,,,್,yes
ಬ್ಯುಸಿನೆಸ್,,,್,yes
ಅಧ್ಯಕ್ಷರಾಗಿದ್ದರು,,,ು,yes
ಒಕ್ಕೂಟದ,,,ದ,yes
ಆಯ್ಕೆಯಾದರು,,,ು,yes
ಕಂಪನಿಯ,,,ಯ,yes
ಶೇಕಡಾ,,,ಾ,yes
ಇಪ್ಪತ್ತೈದರಷ್ಟು,,,ು,yes
ಷೇರುಗಳು,,,ು,yes
ಪಿರೋಜ್ಶಾ,,,ಾ,yes
ಫೌಂಡೇಶನ್,,,್,yes
ಸೂನಾಬಾಯಿ,,,ಿ,yes
ಮೆಮೋರಿಯಲ್,,,್,yes
ಟ್ರಸ್ಟ್,,,್,yes
ಅನ್ನು,,,ು,yes
ಒಳಗೊಂಡಿರುವ,,,ವ,yes
ಗಳಲ್ಲಿವೆ,,,ೆ,yes
ವೈಯಕ್ತಿಕ,,,ಕ,yes
ಸಮಾಜವಾದಿ,,,ಿ,yes
ಲೋಕೋಪಕಾರಿ,,,ಿ,yes
ಪರಮೇಶ್ವರ್,,,್,yes
ಅವರನ್ನು,,,ು,yes
ವಿವಾಹವಾದರು,,,ು,yes
ಮೂರು,,,ು,yes
ಮಕ್ಕಳನ್ನು,,,ು,yes
ದಕ್ಷಿಣ,,,ಣ,yes
ಮುಂಬೈನ,,,ನ,yes
ಮಲಬಾರ್,,,್,yes
ಹಿಲ್,,,್,yes
ವಾಸಿಸುತ್ತಿದ್ದರು,,,ು,yes
ಆದಿಯವರು,,,ು,yes
ಉದ್ಯಮಕ್ಕೆ,,,ೆ,yes
ನೀಡಿದ,,,ದ,yes
ಕೊಡುಗೆಗಾಗಿ,,,ಿ,yes
ರಾಜೀವ್,,,್,yes
ಗಾಂಧಿ,,,ಿ,yes
ಪ್ರಶಸ್ತಿ,,,ಿ,yes
ನೀಡಲಾಯಿತ್ತು,,,ು,yes
ಉಲ್ಲೇಖಗಳು,,,ು,yes
ರುದ್ರ,,,ರ,yes
ಕೆ,,,ೆ,yes
ಎಸ್,,,್,yes
ಆರ್,,,್,yes
ದಾಸ್,,,್,yes
ನಿರ್ದೇಶನ,,,ನ,yes
ಸುಕುಮಾರ್,,,್,yes
ನಿರ್ಮಾಪಣ,,,ಣ,yes
ಮಾಡಿರುವ,,,ವ,yes
ಕನ್ನಡ,,,ಡ,yes
ಚಲನಚ್ರಿತ್ರ,,,ರ,yes
ಚಿತ್ರಕ್ಕೆ,,,ೆ,yes
ಅಮರ್,,,್,yes
ಸಂಗೀತ,,,ತ,yes
ಮಾಡಿದ್ದಾರೆ,,,ೆ,yes
ವಿಷ್ಣುವರ್ಧನ್,,,್,yes
ಖುಷ್ಬು,,,ು,yes
ಅಶ್ವಥ್,,,್,yes
ಮುಖ್ಯ,,,ಯ,yes
ಪಾತ್ರಗಳಲ್ಲಿ,,,ಿ,yes
ನಟಿಸಿದ್ದಾರೆ,,,ೆ,yes
ಪಾತ್ರವರ್ಗ,,,ಗ,yes
ನಾಯಕ,,,ಕ,yes
ರು,,,ು,yes
ನಾಯಕಿ,,,ಿ,yes
ಯರು,,,ು,yes
ಅರುಣ,,,ಣ,yes
ಅಭಿನಯ,,,ಯ,yes
ಟೆಂಪ್ಲೇಟು,,,ು,yes
ಸೂಕ್ಷ್ಮ,,,ಮ,yes
ಜೀವವಿಜ್ಞಾನದ,,,ದ,yes
ಪರಿಕಲ್ಪನೆಗಳು,,,ು,yes
ಸೂಕ್ಷ್ಮಜೀವ,,,ವ,yes
ಘಟಕ,,,ಕ,yes
ಗುರಿ,,,ಿ,yes
ಸೂಕ್ಷ್ಮಜೀವಿಗಳ,,,ಳ,yes
ಜೀವಶಾಸ್ತ್ರ,,,ರ,yes
ಆಧಾರವಾಗಿರುವ,,,ವ,yes
ಪರಿಕಲ್ಪನೆಗಳನ್ನು,,,ು,yes
ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು,,,ು,yes
ನೀವು,,,ು,yes
ಶಕ್ತಗೊಳಿಸಿ,,,ಿ,yes
ನಾವು,,,ು,yes
ದೊಡ್ಡ,,,ಡ,yes
ಜೀವಿಗಳಿಂದ,,,ದ,yes
ಪ್ರತ್ಯೇಕಿಸುವ,,,ವ,yes
ಅಂಶಗಳನ್ನು,,,ು,yes
ಪರಿಶೀಲಿಸುವ,,,ವ,yes
ಮೂಲಕ,,,ಕ,yes
ಸಾಧಿಸಲು,,,ು,yes
ಕಾಣಿಸುತ್ತದೆ,,,ೆ,yes
ಪರಿಷ್ಕರಿಸಲು,,,ು,yes
ಜೀವಕೋಶದ,,,ದ,yes
ರಚನೆ,,,ೆ,yes
ವಿಕಾಸದ,,,ದ,yes
ಬಗ್ಗೆ,,,ೆ,yes
ಹಿಂದಿನ,,,ನ,yes
ವಸ್ತುವಿನ,,,ನ,yes
ಮೇಲೆ,,,ೆ,yes
ನಿರ್ಮಿಸಲು,,,ು,yes
ಸ್ಪರ್ಧೆಯ,,,ಯ,yes
ಕೆಲವು,,,ು,yes
ವಿಸ್ತರಣೆ,,,ೆ,yes
ವಸ್ತು,,,ು,yes
ಮುಗಿಸಿದ,,,ದ,yes
ಕೊನೆಯಲ್ಲಿ,,,ಿ,yes
ಯಾವುದೇ,,,ೇ,yes
ಪ್ರಾಯೋಗಿಕ,,,ಕ,yes
ಪರಿಸ್ಥಿತಿ,,,ಿ,yes
ಅರ್ಜಿ,,,ಿ,yes
ಒಳಗೊಂಡ,,,ಡ,yes
ಒಂದು,,,ು,yes
ಸಮಸ್ಯೆ,,,ೆ,yes
ಅಥವಾ,,,ಾ,yes
ಸಮಸ್ಯೆಯನ್ನು,,,ು,yes
ಪ್ರತಿಕ್ರಿಯೆಯಾಗಿ,,,ಿ,yes
ಅಭಿವೃದ್ಧಿಪಡಿಸಲು,,,ು,yes
ನಿರೀಕ್ಷಿಸಲಾಗುವುದಿಲ್ಲ,,,ಲ,yes
ಭಾಗದಲ್ಲಿ,,,ಿ,yes
ಮಾಹಿತಿಯನ್ನು,,,ು,yes
ಮರುಪಡೆಯಲು,,,ು,yes
ಸಂಯೋಜಿಸಲು,,,ು,yes
ಅಗತ್ಯವಿರುತ್ತದೆ,,,ೆ,yes
ಅರ್ಥ,,,ಥ,yes
ಒಂದೇ,,,ೇ,yes
ಆದರೂ,,,ೂ,yes
ವಿದ್ಯುನ್ಮಾನ,,,ನ,yes
ಕಲಿಕೆ,,,ೆ,yes
ಸಂಪನ್ಮೂಲ,,,ಲ,yes
ಕಟ್ಟುನಿಟ್ಟಾಗಿ,,,ಿ,yes
ಉಪನ್ಯಾಸಗಳು,,,ು,yes
ಅನುಗುಣವಾಗಿಲ್ಲ,,,ಲ,yes
ಎಂದು,,,ು,yes
ತಿಳಿದಿರಲಿ,,,ಿ,yes
ದಯವಿಟ್ಟು,,,ು,yes
ಮುಚ್ಚಿದ,,,ದ,yes
ಹೀಗಿವೆ,,,ೆ,yes
ರೂಪವೈಜ್ಞಾನಿಕ,,,ಕ,yes
ಹೋಲಿಕೆಯು,,,ು,yes
ಹೊರತಾಗಿಯೂ,,,ೂ,yes
ಒಳಗೆ,,,ೆ,yes
ಅಗಾಧ,,,ಧ,yes
ಕ್ರಿಯಾತ್ಮಕ,,,ಕ,yes
ವೈವಿಧ್ಯತೆ,,,ೆ,yes
ವಿವಿಧ,,,ಧ,yes
ವಿಧಾನಗಳನ್ನು,,,ು,yes
ಶಕ್ತಿ,,,ಿ,yes
ಆಮ್ಲಜನಕ,,,ಕ,yes
ಪಡೆಯಲು,,,ು,yes
ಬಳಸಲು,,,ು,yes
ಜನಸಂಖ್ಯೆಯ,,,ಯ,yes
ಗಾತ್ರವು,,,ು,yes
ಸಾಮರ್ಥ್ಯ,,,ಯ,yes
ಯಾಂತ್ರಿಕ,,,ಕ,yes
ಸೂಕ್ಷ್ಮಜೀವಿಯ,,,ಯ,yes
ಸ್ಪರ್ಧೆಯಲ್ಲಿ,,,ಿ,yes
ಸ್ಪರ್ಧೆಯಿಂದ,,,ದ,yes
ಪರಿಣಾಮಗಳನ್ನು,,,ು,yes
ಥಿಯರಿ,,,ಿ,yes
ಯೂಕ್ಯಾರಿಯೋಟಿಕ್,,,್,yes
ಸೆಲ್ಸ್,,,್,yes
ಮೈಟೊಕಾಂಡ್ರಿಯ,,,ಯ,yes
ಕ್ಲೋರೋಪ್ಲಾಸ್ಟ್,,,್,yes
ಪ್ರಾಚೀನ,,,ನ,yes
ಯೂಕಾರ್ಯೋಟಿಕ್,,,್,yes
ಸೆಲ್,,,್,yes
ಪ್ರೊಕ್ಯಾರೋಟಿಕ್,,,್,yes
ಜೀವಕೋಶಗಳ,,,ಳ,yes
ಸಹಜೀವನದ,,,ದ,yes
ಏಕೀಕರಣಕ್ಕಾಗಿ,,,ಿ,yes
ಹುಟ್ಟಿಕೊಂಡಿತು,,,ು,yes
ಹೆಚ್ಚು,,,ು,yes
ಶತಕೋಟಿ,,,ಿ,yes
ವರ್ಷಗಳ,,,ಳ,yes
ಹಿಂದೆ,,,ೆ,yes
ಇದು,,,ು,yes
ವಾದಿಸಲಾಗಿದೆ,,,ೆ,yes
ಜೀವಕೋಶಗಳು,,,ು,yes
ಪೋಷಣೆ,,,ೆ,yes
ಕನಿಷ್ಠ,,,ಠ,yes
ವಿಧಾನಗಳ,,,ಳ,yes
ಹೊಂದಿತ್ತು,,,ು,yes
ಆಹಾರ,,,ರ,yes
ಕಣಗಳು,,,ು,yes
ಒರೆಯಲ್ಲಿಡು,,,ು,yes
ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆ,,,ೆ,yes
ಪರಿಸರದಲ್ಲಿ,,,ಿ,yes
ಉಚಿತ,,,ತ,yes
ತೇಲುವ,,,ವ,yes
ಸಾವಯವ,,,ವ,yes
ಪೋಷಕಾಂಶಗಳ,,,ಳ,yes
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,,,ೆ,yes
ಸಿದ್ಧಾಂತ,,,ತ,yes
ಆಮ್ಲಜನಕದ,,,ದ,yes
ಉಸಿರಾಡುವುದನ್ನು,,,ು,yes
ಸಾಧ್ಯವಾಗುತ್ತದೆ,,,ೆ,yes
ಜೀವಕೋಶಗಳನ್ನು,,,ು,yes
ಅಳವಡಿಸಲಾಗಿದ್ದ,,,ದ,yes
ವಾದಿಸುತ್ತಾರೆ,,,ೆ,yes
ಪರಿಣಾಮಕ,,,ಕ,yes
ಸಾಮರ್ಥ್ಯವನ್ನು,,,ು,yes
ನಿರ್ವಹಣೆ,,,ೆ,yes
ಅದೇ,,,ೇ,yes
ದರ,,,ರ,yes
ಸಂತಾನೋತ್ಪತ್ತಿ,,,ಿ,yes
ಹಾಗೂ,,,ೂ,yes
ಇತರ,,,ರ,yes
ಜೀರ್ಣಿಸಲು,,,ು,yes
ಎರಡು,,,ು,yes
ಜೀವಕೋಶ,,,ಶ,yes
ಪ್ರಕಾರಗಳನ್ನು,,,ು,yes
ಅಗತ್ಯವಿದೆ,,,ೆ,yes
ಸಸ್ಯ,,,ಯ,yes
ಪಾಚಿಯ,,,ಯ,yes
ದ್ಯುತಿಸಂಶ್ಲೇಷಕ,,,ಕ,yes
ಪ್ರೋಕ್ಯಾರಿಯೋಟೀಕ್,,,್,yes
ಉಸಿರಾಡುತ್ತಿರುವ,,,ವ,yes
ಸಾಲಿನ,,,ನ,yes
ಮಾಡಿದಾಗ,,,ಗ,yes
ರೀತಿಯಲ್ಲಿ,,,ಿ,yes
ಈಗ,,,ಗ,yes
ಬೆಳಕಿನ,,,ನ,yes
ಬಳಸಿಕೊಂಡು,,,ು,yes
ತನ್ನದೇ,,,ೇ,yes
ಆದ,,,ದ,yes
ಇಂಗಾಲದ,,,ದ,yes
ಸರಿಪಡಿಸಲು,,,ು,yes
ಸಾಧ್ಯವಾಗಲಿಲ್ಲ,,,ಲ,yes
ಪರಿಣಾಮವಾಗಿ,,,ಿ,yes
ನಿಯಮ,,,ಮ,yes
ಪ್ರೋಕ್ಯಾರಿಯೋಟ್ಗಳು,,,ು,yes
ಪೊರೆಯ,,,ಯ,yes
ಬೌಂಡ್,,,್,yes
ಅಂಗಕಗಳು,,,ು,yes
ಕೊರತೆಯಿಂದ,,,ದ,yes
ಹೊಂದಿರುತ್ತವೆ,,,ೆ,yes
ಸೈಟೋಪ್ಲಾಸಂನಲ್ಲಿ,,,ಿ,yes
ಮುಕ್ತವಾಗಿ,,,ಿ,yes
ತೇಲುತ್ತವೆ,,,ೆ,yes
ನ್ಯೂಕ್ಲಿಯಸ್,,,್,yes
ಸಹ,,,ಹ,yes
ಭಿನ್ನವಾಗಿರುತ್ತದೆ,,,ೆ,yes
ಅಣು,,,ು,yes
ಪ್ರದೇಶದಲ್ಲಿ,,,ಿ,yes
ಸೈಟೋಪ್ಲಾಸಂ,,,ಂ,yes
ತೇಲುತ್ತದೆ,,,ೆ,yes
ಡಿಎನ್ಎ,,,ಎ,yes
ವೃತ್ತಾಕಾರದ,,,ದ,yes
ಘಟಕವು,,,ು,yes
ಹೊಂದಿದೆ,,,ೆ,yes
ಪ್ರಸ್ತುತ,,,ತ,yes
ಗೋಡೆಗೆ,,,ೆ,yes
ಸಂಕೀರ್ಣ,,,ಣ,yes
ಸಂವಿಧಾನ,,,ನ,yes
ಧನಾತ್ಮಕ,,,ಕ,yes
ಗ್ರಾಂಗೆ,,,ೆ,yes
ಚಿತ್ರ,,,ರ,yes
ನೋಡಿ,,,ಿ,yes
ಋಣಾತ್ಮಕ,,,ಕ,yes
ಗ್ರಾಂ,,,ಂ,yes
ಹೊಂದಿರಬಹುದು,,,ು,yes
ಆದಾಗ್ಯೂ,,,ೂ,yes
ಅತ್ಯಂತ,,,ತ,yes
ಪ್ರಾಮುಖ್ಯತೆಯನ್ನು,,,ು,yes
ಪ್ರೋಕ್ಯಾರಿಯೋಟ್ಸ್ಗಳಲ್ಲಿ,,,ಿ,yes
ಗೋಡೆಯ,,,ಯ,yes
ಪಾಲಿಸ್ಯಾಕರೈಡ್,,,್,yes
ಅಮೈಡ್,,,್,yes
ಕೊಂಡಿಗಳನ್ನು,,,ು,yes
ಹೊಂದಿರುವ,,,ವ,yes
ಸಂಯುಕ್ತ,,,ತ,yes
ಜೀವಕೋಶಗಳಲ್ಲಿ,,,ಿ,yes
ಗೋಡೆಗಳ,,,ಳ,yes
ಕಂಡುಬಂದಿಲ್ಲ,,,ಲ,yes
ಜೀವಕೋಶವು,,,ು,yes
ನ್ಯೂಕ್ಲಿಕ್,,,್,yes
ಆಮ್ಲವು,,,ು,yes
ಸಣ್ಣ,,,ಣ,yes
ಕುಣಿಕೆಗಳು,,,ು,yes
ಸ್ವತಂತ್ರವಾಗಿ,,,ಿ,yes
ಕೆಲಸ,,,ಸ,yes
ಮಾಡಬಹುದು,,,ು,yes
ಪ್ಲಾಸ್ಮಿಡ್ಗಳು,,,ು,yes
ಕರೆಯಲಾಗುತ್ತದೆ,,,ೆ,yes
ಹೆಚ್ಚಿನ,,,ನ,yes
ಬ್ಯಾಕ್ಟೀರಿಯಾಗಳು,,,ು,yes
ಏಕ,,,ಕ,yes
ಕೋಶಗಳಲ್ಲಿ,,,ಿ,yes
ಅಸ್ತಿತ್ವದಲ್ಲಿವೆ,,,ೆ,yes
ರೂಪ,,,ಪ,yes
ತಂತು,,,ು,yes
ಯಾವಾಗಲೂ,,,ೂ,yes
ತುಂಬಾ,,,ಾ,yes
ಸರಳ,,,ಳ,yes
ಸುತ್ತಿನಲ್ಲಿ,,,ಿ,yes
ಇರಬಹುದು,,,ು,yes
ಬ್ಯಾಸಿಲ್ಲಿಯು,,,ು,yes
ಸ್ಪೈರಲ್ನೀಳವಾಗಿ,,,ಿ,yes
ಅಗರ್,,,್,yes
ಉದಾ,,,ಾ,yes
ಸ್ಟ್ರೆಪ್ಟಾಕಾಕಸ್,,,್,yes
ಬೆಳೆಸಿದಾಗ,,,ಗ,yes
ರೀತಿಯ,,,ಯ,yes
ನಿರ್ದಿಷ್ಟ,,,ಟ,yes
ಊಹಿಸಬಹುದಾದ,,,ದ,yes
ಸಮುಚ್ಚಯ,,,ಯ,yes
ವಿಳಾಸ,,,ಸ,yes
ವೈರಸ್ಗಳು,,,ು,yes
ಹೆಚ್ಚಾಗಿ,,,ಿ,yes
ಜೀವಿಗಳ,,,ಳ,yes
ಅಧ್ಯಯನ,,,ನ,yes
ಜೀವನದ,,,ದ,yes
ಲಕ್ಷಣಗಳು,,,ು,yes
ಸಲುವಾಗಿ,,,ಿ,yes
ಬೆಳವಣಿಗೆ,,,ೆ,yes
ಅಭಿವೃದ್ಧಿ,,,ಿ,yes
ಶಕ್ತಿಯ,,,ಯ,yes
ಬಳಕೆ,,,ೆ,yes
ಸಂತುಲನವನ್ನು,,,ು,yes
ಪರಿಸರಕ್ಕೆ,,,ೆ,yes
ಪ್ರತಿಕ್ರಿಯೆಯ,,,ಯ,yes
ವಿಕಾಸವಾದದ,,,ದ,yes
ಅಳವಡಿಕೆಯು,,,ು,yes
ಒಳಗೊಂಡಿದೆ,,,ೆ,yes
ಆದರೆ,,,ೆ,yes
ವಾಸಿಸುವ,,,ವ,yes
ಇಲ್ಲ,,,ಲ,yes
ಕೆಲವೊಮ್ಮೆ,,,ೆ,yes
ವೀರಾಯಿಡ್,,,್,yes
ಎಂಬ,,,ಬ,yes
ವೈರಸ್,,,್,yes
ನ್ಯೂಕ್ಲಿಯಿಕ್,,,್,yes
ಆಮ್ಲದ,,,ದ,yes
ಎಳೆಯನ್ನು,,,ು,yes
ಡಿ,,,ಿ,yes
ಎನ್,,,್,yes
ಏಕೈಕ,,,ಕ,yes
ಅದು,,,ು,yes
ತನ್ಮೂಲಕ,,,ಕ,yes
ಕಿಣ್ವಗಳಿಂದ,,,ದ,yes
ಕೆಡದಂತೆ,,,ೆ,yes
ತಡೆಯುತ್ತದೆ,,,ೆ,yes
ಸ್ವತಃ,,,ಃ,yes
ಸುಮಾರು,,,ು,yes
ದುಪ್ಪಟ್ಟು,,,ು,yes
ನೋಡಬಹುದು,,,ು,yes
ಹೋಲುತ್ತವೆ,,,ೆ,yes
ಪ್ರೋಟೀನ್,,,್,yes
ಶೆಲ್,,,್,yes
ಸುತ್ತಲೂ,,,ೂ,yes
ಹೊಂದಿರುತ್ತದೆ,,,ೆ,yes
ಪೋಷಕ,,,ಕ,yes
ಪ್ರವೇಶ,,,ಶ,yes
ರಂದು,,,ು,yes
ಇಲ್ಲವಾಗುತ್ತದೆ,,,ೆ,yes
ಸುತ್ತಮುತ್ತಲಿನ,,,ನ,yes
ಹೋಸ್ಟ್,,,್,yes
ಮೂಲದ,,,ದ,yes
ಹೊಂದಿವೆ,,,ೆ,yes
ದೇಶ,,,ಶ,yes
ಅನುಪಸ್ಥಿತಿಯಲ್ಲಿ,,,ಿ,yes
ಕೊರತೆ,,,ೆ,yes
ನವರತ್ನ,,,ನ,yes
ರಾಮರಾವ್,,,್,yes
ಮೇ,,,ೇ,yes
ನವೆಂಬರ್,,,್,yes
ನಮ್ಮ,,,ಮ,yes
ನಾಡಿನ,,,ನ,yes
ಶ್ರೇಷ್ಠ,,,ಠ,yes
ಬರಹಗಾರರಲ್ಲಿ,,,ಿ,yes
ಒಬ್ಬರು,,,ು,yes
ಬ್ರಿಟಿಷ್,,,್,yes
ಆಡಳಿತ,,,ತ,yes
ಕಾಲದಲ್ಲಿನ,,,ನ,yes
ಮೈಸೂರು,,,ು,yes
ಸಂಸ್ಥಾನದ,,,ದ,yes
ಸರ್ಕಾರದಲ್ಲಿ,,,ಿ,yes
ಹಿರಿಯ,,,ಯ,yes
ಅಧಿಕಾರಿಗಳಾಗಿದ್ದ,,,ದ,yes
ರಾಮರಾಯರು,,,ು,yes
ಪ್ರಾಮಾಣಿಕತೆ,,,ೆ,yes
ದಕ್ಷತೆಗಳಿಗೆ,,,ೆ,yes
ಹೆಸರಾಗಿದ್ದವರು,,,ು,yes
ಉತ್ತರ,,,ರ,yes
ಕರ್ನಾಟಕದ,,,ದ,yes
ದೇಶಸ್ಥ,,,ಥ,yes
ಕುಟುಂಬಕ್ಕೆ,,,ೆ,yes
ಸೇರಿದ,,,ದ,yes
ಬೆಂಗಳೂರು,,,ು,yes
ಜಿಲ್ಲೆಯ,,,ಯ,yes
ದೇವನಹಳ್ಳಿಯಲ್ಲಿ,,,ಿ,yes
ವರ್ಷದಲ್ಲಿ,,,ಿ,yes
ಜನಿಸಿದರು,,,ು,yes
ರಾಮರಾಯರ,,,ರ,yes
ತಂದೆ,,,ೆ,yes
ಬಾಲಕೃಷ್ಣರಾಯರು,,,ು,yes
ಅಭಿಯಂತರ,,,ರ,yes
ಇಲಾಖೆಯಲ್ಲಿ,,,ಿ,yes
ದೀರ್ಘಕಾಲ,,,ಲ,yes
ಸೇವೆ,,,ೆ,yes
ಸಲ್ಲಿಸಿದವರಾಗಿದ್ದರು,,,ು,yes
ಬಾಲ್ಯದಲ್ಲಿಯೇ,,,ೇ,yes
ತಾಯಿಯ,,,ಯ,yes
ಪ್ರೀತಿಯಿಂದ,,,ದ,yes
